date,pH_Song_SG,pH_vao_nha_may,pH_dau_be_tron,pH_dau_be_lang,pH_sau_be_lang,pH_dau_be_chua_moi,pH_dau_be_chua_cu,pH_ra_nha_may,Clo_vao_nha_may,Clo_dau_be_tron,Clo_dau_be_chua_moi,Clo_dau_be_chua_cu,Clo_ra_nha_may,Doduc_vao_nha_may,Doduc_sau_lang,Doduc_sau_loc,Doduc_dau_be_chua_moi,Doduc_dau_be_chua_cu,Doduc_ra_nha_may,Mn_vao_nha_may,Mn_sau_lang,Mn_sau_loc,Mn_ra_nha_may,Fe_vao_nha_may,Fe_ra_nha_may,Mau_vao_nha_may_BK,Mau_vao_nha_may_thuc,Mau_ra_nha_may,Man_ra_nha_may,SS_vao_nha_may,SS_sau_lang,SS_ra_nha_may,Dodan_vao_nha_may,Dodan_ra_nha_may,DO_vao_nha_may,DO_ra_nha_may,NH3_song_sai_gon,NH3_vao_nha_may,NH3_sau_loc,NH3_ra_nha_may,F_dau_be_chua_moi,F_ra_nha_may,Thetich_Jartest_PAC,Nongdo_Jartest_PAC,Man_song_saigon,q_pH,q_DO,q_NH3,q_Doduc,q_TSS,q_Fe,q_Mn,OT
2017-01-01,5.95,7.3,6.8,6.6,6.5,6.3,7.9,7.6,0.05,1.1,0.6,0.4,0.9,52.0,3.3,0.51,0.44,0.41,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.27054160855417,182.25891364902503,2.844418063314711,7.076883720930232,0.0,0.2,0.0,0.0,0.0,0.0,22.0,26.488,25.0,100.0,40,80,20,100,100,100,77.14285714285714
2017-01-02,5.94,6.8,6.7,6.5,6.5,6.3,7.9,7.9,0.07,1.3,0.01,0.5,1.0,37.0,2.6,0.51,0.47,0.37,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.27054160855417,182.25891364902503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,28.896,26.0,100.0,10,100,40,100,100,100,78.57142857142857
2017-01-03,5.82,7.3,7.1,7.0,6.8,6.6,8.1,7.6,0.05,1.5,0.05,0.5,1.0,40.0,2.7,0.5,0.46,0.36,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.27054160855417,182.25891364902503,2.844418063314711,7.076883720930232,0.0,0.0,0.0,0.0,0.0,0.0,22.0,26.488,27.0,100.0,40,100,40,100,100,100,82.85714285714286
2017-01-04,5.94,7.3,6.8,6.7,6.6,6.5,8.2,7.6,0.05,0.4,0.05,0.4,0.9,33.0,3.7,0.5,0.53,0.37,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.27054160855417,182.25891364902503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,26.488,29.0,100.0,10,100,40,100,100,100,78.57142857142857
2017-01-05,6.02,7.0,6.8,6.7,6.6,6.5,8.3,7.9,0.05,1.0,0.05,0.4,1.1,35.0,3.2,0.43,0.41,0.39,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.27054160855417,182.25891364902503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,24.08,28.0,100.0,10,100,40,100,100,100,78.57142857142857
2017-01-06,5.94,7.0,6.7,6.6,6.5,6.4,8.5,7.5,0.05,0.9,0.05,0.4,0.9,23.0,3.1,0.4,0.29,0.39,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.27054160855417,182.25891364902503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,24.08,30.0,100.0,10,100,40,100,100,100,78.57142857142857
2017-01-07,5.98,7.6,7.3,7.1,6.9,6.7,7.8,7.5,0.05,1.3,0.05,0.4,0.9,20.0,3.6,0.4,0.4,0.32,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.27054160855417,182.25891364902503,2.844418063314711,7.076883720930232,0.0,0.0,0.0,0.0,0.0,0.0,20.0,24.08,30.0,100.0,40,100,60,100,100,100,85.71428571428571
2017-01-08,5.93,7.3,6.8,6.7,6.6,6.6,7.8,7.6,0.05,1.1,0.05,0.3,0.9,22.0,3.0,0.5,0.53,0.48,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.27054160855417,182.25891364902503,2.844418063314711,7.076883720930232,0.7661307083463275,0.0,0.0,0.0,0.0,0.0,20.0,24.08,31.0,100.0,40,100,40,100,100,100,82.85714285714286
2017-01-09,5.97,7.3,7.0,6.9,6.8,6.7,8.0,7.6,0.05,1.0,0.05,0.4,1.0,24.0,3.0,0.49,0.56,0.6,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.27054160855417,182.25891364902503,2.844418063314711,7.076883720930232,0.7661307083463275,0.0,0.0,0.0,0.0,0.0,20.0,24.08,32.0,100.0,40,100,40,100,100,100,82.85714285714286
2017-01-10,6.02,7.2,7.0,6.7,6.6,6.5,8.3,7.7,0.05,0.9,0.05,0.3,0.8,40.0,3.7,0.44,0.45,0.54,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.27054160855417,182.25891364902503,2.844418063314711,7.076883720930232,0.0,0.0,0.0,0.0,0.0,0.0,20.0,24.08,36.0,100.0,40,100,40,100,100,100,82.85714285714286
2017-01-11,6.01,7.1,6.7,6.5,6.4,6.3,8.1,7.8,0.05,1.2,0.05,0.4,1.1,44.0,3.0,0.49,0.63,0.46,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.27054160855417,182.25891364902503,2.844418063314711,7.076883720930232,0.6,0.0,0.0,0.0,0.0,0.0,20.0,24.08,35.0,100.0,40,100,40,100,100,100,82.85714285714286
2017-01-12,6.11,7.3,7.0,6.9,6.8,6.6,8.2,7.6,0.05,0.9,0.05,0.4,0.9,43.0,3.5,0.53,0.57,0.4,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.27054160855417,182.25891364902503,2.844418063314711,7.076883720930232,0.4,0.0,0.0,0.0,0.0,0.0,20.0,24.08,35.0,100.0,40,100,40,100,100,100,82.85714285714286
2017-01-13,6.15,7.0,6.7,6.6,6.5,6.4,8.3,7.4,0.05,1.0,0.05,0.4,0.9,48.0,3.0,0.29,0.43,0.49,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.27054160855417,182.25891364902503,2.844418063314711,7.076883720930232,0.0,0.0,0.0,0.0,0.0,0.0,20.0,24.08,34.0,100.0,40,100,40,100,100,100,82.85714285714286
2017-01-14,6.23,7.2,7.0,6.8,6.7,6.6,8.4,7.7,0.05,1.0,0.05,0.6,1.1,29.0,4.2,0.62,0.56,0.58,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.27054160855417,182.25891364902503,2.844418063314711,7.076883720930232,0.0,0.0,0.0,0.0,0.0,0.0,20.0,24.08,35.0,100.0,40,100,40,100,100,100,82.85714285714286
2017-01-15,6.14,7.2,6.8,6.7,6.6,6.5,7.8,7.4,0.05,1.2,0.05,0.4,0.8,27.0,4.1,0.5,0.42,0.4,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.27054160855417,182.25891364902503,2.844418063314711,7.076883720930232,0.0,0.0,0.0,0.0,0.0,0.0,20.0,24.08,34.0,100.0,40,100,40,100,100,100,82.85714285714286
2017-01-16,6.02,7.2,6.9,6.8,6.7,6.6,8.1,7.6,0.05,0.9,0.05,0.4,0.9,24.0,2.9,0.42,0.45,0.38,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.27054160855417,182.25891364902503,2.844418063314711,7.076883720930232,0.0,0.0,0.0,0.0,0.0,0.0,18.0,21.672,35.0,100.0,40,100,40,100,100,100,82.85714285714286
2017-01-17,6.05,7.4,7.2,7.0,6.9,6.8,8.1,7.6,0.05,0.9,0.05,0.4,0.9,26.0,3.8,0.57,0.67,0.58,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.27054160855417,182.25891364902503,2.844418063314711,7.076883720930232,0.46,0.0,0.0,0.0,0.0,0.0,20.0,24.08,35.0,100.0,40,100,40,100,100,100,82.85714285714286
2017-01-18,6.03,7.2,6.8,6.7,6.5,6.4,8.0,7.8,0.05,0.8,0.02,0.4,0.9,26.0,3.6,0.49,0.45,0.5,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.27054160855417,182.25891364902503,2.844418063314711,7.076883720930232,0.57,0.0,0.0,0.0,0.0,0.0,18.0,21.672,35.0,100.0,40,100,40,100,100,100,82.85714285714286
2017-01-19,6.03,7.3,7.0,6.9,6.8,6.7,8.6,7.9,0.05,0.5,0.05,0.4,0.9,20.0,3.3,0.4,0.49,0.32,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.27054160855417,182.25891364902503,2.844418063314711,7.076883720930232,0.6,0.0,0.0,0.0,0.0,0.0,18.0,21.672,35.0,100.0,40,100,60,100,100,100,85.71428571428571
2017-01-20,6.1,7.0,6.7,6.6,6.5,6.3,8.6,7.9,0.05,1.0,0.05,0.4,0.9,15.0,3.6,0.54,0.53,0.49,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.27054160855417,182.25891364902503,2.844418063314711,7.076883720930232,0.0,0.0,0.0,0.0,0.0,0.0,20.0,24.08,34.0,100.0,40,100,60,100,100,100,85.71428571428571
2017-01-21,6.06,7.3,7.0,6.9,6.7,6.6,7.7,8.2,0.05,1.0,0.05,0.4,0.9,18.0,4.1,0.57,0.56,0.35,0.36,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.27054160855417,182.25891364902503,2.844418063314711,7.076883720930232,0.44,0.0,0.0,0.0,0.0,0.0,18.0,21.672,34.0,100.0,40,100,60,100,100,100,85.71428571428571
2017-01-22,6.12,7.2,7.0,7.0,7.0,6.7,8.0,7.9,0.05,0.7,0.05,0.3,0.9,12.0,2.7,0.51,0.6,0.24,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.27054160855417,182.25891364902503,2.844418063314711,7.076883720930232,0.0,0.0,0.0,0.0,0.0,0.0,18.0,21.672,35.0,100.0,40,100,60,100,100,100,85.71428571428571
